0	18865380
1	15870291
2	2575641
3	19117462
4	15874940
5	3011722
6	15716021
7	14832672
8	16519751
9	5131351
10	14137330
11	15674502
12	643662
13	1013562
14	17335982
15	15518110
16	2874582
17	613221
18	16140570
19	6384122
20	17005091
21	18728431
22	10483710
23	18647020
24	2562420
25	18185341
26	5636261
27	6807391
28	14905741
29	6628311
30	7978991
31	5552701
32	18718881
33	6196302
34	14207361
35	16577181
36	3313870
37	16523582
38	971052
39	502912
40	13471311
41	970942
42	19123751
43	5756390
44	20069301
45	478880
46	18174502
47	15989582
48	5870520
49	17684001
50	17369231
51	18287632
52	994341
53	7907711
54	19630211
55	18714292
56	18118861
57	16521731
58	2334692
59	3013281
60	3405072
61	967010
62	15431502
63	3123271
64	581501
65	2929391
66	2467750
67	903740
68	5848071
69	16566521
70	5378692
71	16219380
72	19081060
73	16931652
74	17475651
75	16749040
76	15381650
77	6574430
78	17508900
79	7847340
80	14322252
81	15056522
82	2523911
83	5384801
84	6749581
85	17502040
86	8642070
87	1021400
88	17605431
89	16067281
90	7933182
91	17813170
92	13124562
93	5418621
94	13822931
95	16542250
96	6014142
97	16350642
98	3007741
99	630001
100	962401
101	6407841
102	16595250
103	6477001
104	15817262
105	2444410
106	3065520
107	7871121
108	12828990
109	504522
110	18178601
111	8078860
112	7877551
113	16134552
114	18388812
115	2386121
116	937290
117	15899142
118	15618850
119	17551900
120	16312321
121	7972921
122	16252891
123	997562
124	679642
125	7875131
126	2659101
127	16546200
128	3427900
129	8084180
130	6753861
131	7144150
132	2472391
133	5343942
134	17909001
135	5519401
136	5401651
137	5340402
138	16712910
139	6595520
140	7877121
141	15264542
142	5915972
143	16830432
144	4982042
145	7980502
146	15441332
147	6591931
148	6626172
149	17434582
150	8002191
151	898590
152	16837330
153	8626442
154	15984750
155	15463492
156	6587422
157	2763350
158	14015882
159	540481
160	2724402
161	14983672
162	15757511
163	13277982
164	949530
165	17905911
166	15111052
167	2979181
168	18515902
169	17550431
170	19991481
171	555150
172	483201
173	592000
174	16762562
175	20291491
176	16958790
177	8792251
178	17731791
179	12717222
180	15156041
181	13918501
182	15475310
183	16313382
184	3766121
185	2443002
186	12888592
187	14376581
188	18244812
189	12663962
190	15998001
191	486360
192	2688022
193	5206251
194	5607001
195	16328831
196	19641600
197	5413391
198	19562260
199	15138881
200	5868241
201	17748351
202	5184550
203	16703182
204	892462
205	14007621
206	5748961
207	17997281
208	5700961
209	17033612
210	4980931
211	2466550
212	17376860
213	15924542
214	582530
215	16781251
216	17923361
217	16401451
218	16926601
219	16574360
220	16665782
221	18596030
222	16190891
223	2986671
224	18946311
225	18433192
226	6496670
227	948521
228	14120600
229	17585040
230	2494920
231	18411870
232	15048980
233	16895932
234	456740
235	3422021
236	5504792
237	6728850
238	5842730
239	17600231
240	2644211
241	15302842
242	16186852
243	15681842
244	6202131
245	17304302
246	18232172
247	2877671
248	17813371
249	3176060
250	6109980
251	16164782
252	18031660
253	905871
254	13080842
255	19747670
256	7886700
257	7938442
258	17924041
259	15907992
260	15948230
261	17547312
262	2588701
263	456300
264	8618600
265	17010281
266	6697112
267	7905741
268	16495852
269	18481171
270	16838901
271	2407191
272	15469830
273	2359392
274	15240581
275	5463732
276	16246682
277	17467181
278	8794720
279	5147241
280	18667580
281	6203801
282	16951440
283	3506352
284	4900912
285	7925720
286	8624951
287	943872
288	653050
289	3035631
290	5609990
291	18631102
292	5894602
293	16771482
294	15991072
295	3566742
